tabela,periodicidade,unidade_tipo,codigo,descricao,nivel,periodo,valor
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2020-I,400841.21052198
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2020-II,257589.10860622
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2020-III,354511.56525499
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2020-IV,454816.9037073799
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2021-I,453805.17060295993
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2021-II,446726.59097635
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2021-III,469912.03734584997
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2021-IV,562205.8806975799
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2022-I,571353.26070207
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2022-II,595794.77397474
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2022-III,556952.5425720399
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2022-IV,589204.8485931801
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2023-I,587965.90470154
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2023-II,571103.8527998601
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2023-III,565893.45370364
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2023-IV,628469.03182346
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2024-I,667856.40090233
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2024-II,641596.91373308
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2024-III,617125.0376681901
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2024-IV,752863.25396191
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2025-I,720713.61185939
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2025-II,702921.4618821699
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2025-III,679982.10855394
4.2,trimestral,corrente,1.1,Receita RTN 1/,2,2025-IV,798657.3817691
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2020-I,20660.636540939973
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2020-II,17585.308165960014
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2020-III,15116.97123272001
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2020-IV,23028.776759240078
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2021-I,23512.234622430056
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2021-II,13595.787884269957
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2021-III,19945.226038700086
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2021-IV,22331.011868739966
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2022-I,21645.608876440092
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2022-II,24025.219755659928
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2022-III,24492.638920290046
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2022-IV,34428.15649048984
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2023-I,32078.970277379965
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2023-II,25696.112913019955
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2023-III,28946.790307290037
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2023-IV,30794.716963769984
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2024-I,32271.980246650055
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2024-II,36405.271032219985
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2024-III,36917.1545781499
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2024-IV,41426.80013035005
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2025-I,36504.27669673995
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2025-II,36569.23017664009
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2025-III,34418.36435974017
4.2,trimestral,corrente,1.1.1,"Ajustes na Receita RTN, dos quais:",3,2025-IV,46208.12999937008
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2020-I,-1923.19
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2020-II,-3565.59
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2020-III,-1991.33
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2020-IV,-1927.1
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2021-I,-1469.1399999999999
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2021-II,-2698.9500000000003
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2021-III,-1628.93
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2021-IV,-1474.28
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2022-I,-1541.7900000000002
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2022-II,-1554.3
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2022-III,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2022-IV,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2023-I,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2023-II,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2023-III,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2023-IV,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2024-I,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2024-II,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2024-III,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2024-IV,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2025-I,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2025-II,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2025-III,0
4.2,trimestral,corrente,,(-) Compensação ao RGPS pelas Desonerações da Folha,1,2025-IV,0
4.2,trimestral,corrente,,(-) Venda de ativos não financeiros 3/,1,2020-I,-458.60338748000004
