tabela,periodicidade,unidade_tipo,codigo,descricao,nivel,periodo,valor
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2008,28105.82378092
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2009,34008.27421018999
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2010,44741.21760242
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2011,52630.67191140999
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2012,59448.82930250001
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2013,63224.22525464001
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2014,77535.69652941001
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2015,55531.95447205678
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2016,64812.871412311106
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2017,45694.004741468874
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2018,53132.627145881284
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2019,56593.35589430047
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2020,104904.49770114284
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2021,56828.23561548984
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2022,45054.64552259868
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2023,81365.33022576442
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2024,86102.1053613419
2.3,anual,corrente,1,INVESTIMENTO TOTAL (1 + 2 + 3),1,2025,83406.34938974492
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2008,26112.48820340766
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2009,32151.340891519434
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2010,44681.59548960539
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2011,41930.42066757101
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2012,46873.51891461348
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2013,47286.24168017012
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2014,57214.08293732805
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2015,38950.20970740758
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2016,48051.4161552007
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2017,37854.34178952889
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2018,41296.58596934161
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2019,37820.01478197956
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2020,42020.616063697315
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2021,36017.35253916983
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2022,40639.09459896869
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2023,58750.29581598443
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2024,60126.53666178191
2.3,anual,corrente,1.1,Investimentos (GND 4),2,2025,69922.95260078994
2.3,anual,corrente,1.1.01,Legislativa,3,2008,79.93868681999999
2.3,anual,corrente,1.1.01,Legislativa,3,2009,64.00657657000001
2.3,anual,corrente,1.1.01,Legislativa,3,2010,103.84378315000001
2.3,anual,corrente,1.1.01,Legislativa,3,2011,137.5039084
2.3,anual,corrente,1.1.01,Legislativa,3,2012,97.56193078000001
2.3,anual,corrente,1.1.01,Legislativa,3,2013,91.36531679000001
2.3,anual,corrente,1.1.01,Legislativa,3,2014,172.05453287
2.3,anual,corrente,1.1.01,Legislativa,3,2015,189.30657437
2.3,anual,corrente,1.1.01,Legislativa,3,2016,231.29282387
2.3,anual,corrente,1.1.01,Legislativa,3,2017,115.08874555999999
2.3,anual,corrente,1.1.01,Legislativa,3,2018,78.28017138
2.3,anual,corrente,1.1.01,Legislativa,3,2019,55.71787991
2.3,anual,corrente,1.1.01,Legislativa,3,2020,83.20607936
2.3,anual,corrente,1.1.01,Legislativa,3,2021,77.79807223
2.3,anual,corrente,1.1.01,Legislativa,3,2022,91.94145402000001
2.3,anual,corrente,1.1.01,Legislativa,3,2023,118.37892739
2.3,anual,corrente,1.1.01,Legislativa,3,2024,149.38257456999997
2.3,anual,corrente,1.1.01,Legislativa,3,2025,131.61525684999998
2.3,anual,corrente,1.1.02,Judiciária,3,2008,800.35124663664
2.3,anual,corrente,1.1.02,Judiciária,3,2009,681.2310434377362
2.3,anual,corrente,1.1.02,Judiciária,3,2010,963.1301943
2.3,anual,corrente,1.1.02,Judiciária,3,2011,906.40381378
2.3,anual,corrente,1.1.02,Judiciária,3,2012,935.0735011300001
2.3,anual,corrente,1.1.02,Judiciária,3,2013,780.39475118
2.3,anual,corrente,1.1.02,Judiciária,3,2014,987.3276929299999
2.3,anual,corrente,1.1.02,Judiciária,3,2015,962.1272162899999
2.3,anual,corrente,1.1.02,Judiciária,3,2016,1088.8021120399999
2.3,anual,corrente,1.1.02,Judiciária,3,2017,887.8536604299999
2.3,anual,corrente,1.1.02,Judiciária,3,2018,1030.4484463899998
2.3,anual,corrente,1.1.02,Judiciária,3,2019,884.2376525300001
2.3,anual,corrente,1.1.02,Judiciária,3,2020,609.28228404
2.3,anual,corrente,1.1.02,Judiciária,3,2021,488.99128094
2.3,anual,corrente,1.1.02,Judiciária,3,2022,1801.80480544
2.3,anual,corrente,1.1.02,Judiciária,3,2023,1949.8522841200001
2.3,anual,corrente,1.1.02,Judiciária,3,2024,1875.1027673299996
2.3,anual,corrente,1.1.02,Judiciária,3,2025,1003.53501254
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2008,136.26206628
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2009,196.41730066000002
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2010,160.69869269999998
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2011,154.28612743000002
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2012,204.78170779
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2013,210.91149764
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2014,221.83333541999997
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2015,259.05135656999994
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2016,340.11819487
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2017,247.58790538
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2018,191.22249275000004
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2019,108.02101047999997
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2020,172.43385645
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2021,201.38708520999998
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2022,199.33365121000003
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2023,190.33171608000004
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2024,124.78897986999999
2.3,anual,corrente,1.1.03,Essencial à Justiça,3,2025,75.33110642
2.3,anual,corrente,1.1.04,Administração,3,2008,355.4636096308299
2.3,anual,corrente,1.1.04,Administração,3,2009,390.267347866812
2.3,anual,corrente,1.1.04,Administração,3,2010,520.1420093538981
2.3,anual,corrente,1.1.04,Administração,3,2011,623.191889874722
2.3,anual,corrente,1.1.04,Administração,3,2012,471.60505672697997
2.3,anual,corrente,1.1.04,Administração,3,2013,1608.2442534516438
2.3,anual,corrente,1.1.04,Administração,3,2014,1499.970573993822
2.3,anual,corrente,1.1.04,Administração,3,2015,692.4538574700001
2.3,anual,corrente,1.1.04,Administração,3,2016,532.6922331600001
2.3,anual,corrente,1.1.04,Administração,3,2017,632.6693633799999
2.3,anual,corrente,1.1.04,Administração,3,2018,654.704439883752
2.3,anual,corrente,1.1.04,Administração,3,2019,584.764379805
2.3,anual,corrente,1.1.04,Administração,3,2020,579.190815724369
2.3,anual,corrente,1.1.04,Administração,3,2021,489.25258689987993
2.3,anual,corrente,1.1.04,Administração,3,2022,541.893082526123
2.3,anual,corrente,1.1.04,Administração,3,2023,656.8489402901869
2.3,anual,corrente,1.1.04,Administração,3,2024,554.82077764
2.3,anual,corrente,1.1.04,Administração,3,2025,625.63948763
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2008,3279.4355878964593
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2009,4011.7300590617883
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2010,6969.488384415681
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2011,6541.045711439364
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2012,7738.066733093496
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2013,8157.015431380647
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2014,10382.564083775513
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2015,6329.648807971129
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2016,9151.029577284387
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2017,8065.271057534397
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2018,8560.26325050075
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2019,8346.54603725421
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2020,8145.07420193836
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2021,7410.103878844868
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2022,7855.927763311164
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2023,8126.894883693327
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2024,9146.743349320797
2.3,anual,corrente,1.1.05,Defesa Nacional,3,2025,10633.014250625984
2.3,anual,corrente,1.1.06,Segurança Pública,3,2008,1076.74408447
2.3,anual,corrente,1.1.06,Segurança Pública,3,2009,1413.8928110400002
2.3,anual,corrente,1.1.06,Segurança Pública,3,2010,2160.14018249
2.3,anual,corrente,1.1.06,Segurança Pública,3,2011,1079.53716112
2.3,anual,corrente,1.1.06,Segurança Pública,3,2012,1092.70219876
2.3,anual,corrente,1.1.06,Segurança Pública,3,2013,1455.5285959500002
2.3,anual,corrente,1.1.06,Segurança Pública,3,2014,1169.0633671500002
2.3,anual,corrente,1.1.06,Segurança Pública,3,2015,702.3168298318961
2.3,anual,corrente,1.1.06,Segurança Pública,3,2016,1010.105135043543
2.3,anual,corrente,1.1.06,Segurança Pública,3,2017,855.84366443
