tabela,periodicidade,unidade_tipo,codigo,descricao,nivel,periodo,valor
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2008,127618.68027356999
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2009,119644.86974176
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2010,133280.79633880997
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2011,162939.46466592
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2012,171393.40265475
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2013,182713.94014291998
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2014,198480.58048977
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2015,203795.11095057003
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2016,226943.85505118
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2017,228339.15412606997
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2018,256696.37259889
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2019,288352.8723835
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2020,263807.48303182004
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2021,353571.33304883
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2022,457195.92813777
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2023,451664.0787154
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2024,517641.1191398295
2.5,anual,corrente,1,TRANSF. POR REPARTIÇÃO DE RECEITA,1,2025,569706.2903206163
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2008,101879.72614027999
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2009,97531.84479186998
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2010,105744.35726108
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2011,130170.75671151001
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2012,133911.81625729
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2013,143921.40207619
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2014,156822.95669532
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2015,165695.19180397002
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2016,189849.1502634
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2017,183122.96298182
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2018,196629.8279257
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2019,213592.68758750003
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2020,204626.29281151
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2021,274865.18418216
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2022,341926.68618864997
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2023,353288.16675653006
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2024,411979.91660038
2.5,anual,corrente,1.1,FPM / FPE / IPI-EE,2,2025,454682.34288676
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2008,2939.77645035
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2009,2969.0230001899995
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2010,3277.8241241100004
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2011,3781.26719134
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2012,4289.85502238
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2013,4630.691850939999
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2014,4555.74739666
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2015,6113.409417839999
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2016,7530.08746146
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2017,7838.633470430001
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2018,8470.077711580001
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2019,9609.224273730002
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2020,8553.23982318
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2021,5815.369643290001
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2022,10077.6029663
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2023,11301.73219088
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2024,12944.545890209496
2.5,anual,corrente,1.2,Fundos Constitucionais,2,2025,18681.505651086256
2.5,anual,corrente,1.2.1,Repasse Total,3,2008,6611.25333853
2.5,anual,corrente,1.2.1,Repasse Total,3,2009,6421.958604380001
2.5,anual,corrente,1.2.1,Repasse Total,3,2010,6851.580771840001
2.5,anual,corrente,1.2.1,Repasse Total,3,2011,8384.29487546
2.5,anual,corrente,1.2.1,Repasse Total,3,2012,8640.689937449999
2.5,anual,corrente,1.2.1,Repasse Total,3,2013,9301.57040762
2.5,anual,corrente,1.2.1,Repasse Total,3,2014,10131.306580790002
2.5,anual,corrente,1.2.1,Repasse Total,3,2015,10657.97052322
2.5,anual,corrente,1.2.1,Repasse Total,3,2016,12193.74150395
2.5,anual,corrente,1.2.1,Repasse Total,3,2017,11598.86312851
2.5,anual,corrente,1.2.1,Repasse Total,3,2018,12467.578036719999
2.5,anual,corrente,1.2.1,Repasse Total,3,2019,13595.92410966
2.5,anual,corrente,1.2.1,Repasse Total,3,2020,12980.62251283
2.5,anual,corrente,1.2.1,Repasse Total,3,2021,16221.25742238
2.5,anual,corrente,1.2.1,Repasse Total,3,2022,23156.39304448
2.5,anual,corrente,1.2.1,Repasse Total,3,2023,22455.51793042
2.5,anual,corrente,1.2.1,Repasse Total,3,2024,25841.65433677
2.5,anual,corrente,1.2.1,Repasse Total,3,2025,28884.717132250003
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2008,-3671.47688818
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2009,-3452.93560419
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2010,-3573.75664773
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2011,-4603.027684119999
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2012,-4350.83491507
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2013,-4670.87855668
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2014,-5575.559184129999
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2015,-4544.56110538
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2016,-4663.6540424899995
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2017,-3760.22965808
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2018,-3997.5003251400003
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2019,-3986.69983593
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2020,-4427.3826896499995
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2021,-10405.88777909
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2022,-13078.790078179998
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2023,-11153.78573954
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2024,-12897.108446560505
2.5,anual,corrente,1.2.2,Superávit dos Fundos,3,2025,-10203.211481163744
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2008,5170.417916169999
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2009,5740.13660386
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2010,6553.710085140001
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2011,7770.748048279999
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2012,8787.719936630001
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2013,9863.12711145
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2014,10868.91805641
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2015,11467.29064686
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2016,11685.549654249999
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2017,12022.61219988
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2018,12758.73347101
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2019,12261.086430379997
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2020,12621.58065986
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2021,14088.566755280002
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2022,16136.02260974
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2023,18161.95310002
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2024,19571.99635092
2.5,anual,corrente,1.3,Contribuição do Salário Educação,2,2025,21369.905735610002
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2008,15791.158208500001
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2009,12070.446156789998
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2010,15375.835042070003
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2011,18499.15722404
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2012,22613.523453979997
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2013,23441.110010149998
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2014,25100.995615139997
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2015,18836.923554989997
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2016,15348.44780452
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2017,22184.76514876
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2018,35942.14174637
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2019,38804.96142193
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2020,35630.635964639994
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2021,56306.98534071
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2022,78109.63929998998
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2023,65755.04534296
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2024,68814.76456514
2.5,anual,corrente,1.4,Transferências de Exploração de Recursos Naturais (Compensações Financeiras),2,2025,70194.83478726001
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2008,1578.8795484
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2009,962.4135512600001
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2010,1775.72667672
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2011,2109.7062591500003
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2012,1117.88241486
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2013,57.31916915
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2014,116.082503
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2015,447.95837443
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2016,1239.2812874899998
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2017,1698.7142459000002
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2018,1356.7614281300002
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2019,820.8351171300001
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2020,690.04593245
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2021,443.96791608
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2022,690.8355384700001
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2023,139.27691364
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2024,979.20462686
2.5,anual,corrente,1.5,CIDE - Combustíveis,2,2025,917.8630216600001
2.5,anual,corrente,1.6,Demais,2,2008,258.72200986999997
2.5,anual,corrente,1.6,Demais,2,2009,371.00563779
2.5,anual,corrente,1.6,Demais,2,2010,553.34314969
2.5,anual,corrente,1.6,Demais,2,2011,607.8292316
2.5,anual,corrente,1.6,Demais,2,2012,672.6055696099999
2.5,anual,corrente,1.6,Demais,2,2013,800.2899250400001
2.5,anual,corrente,1.6,Demais,2,2014,1015.8802232400001
2.5,anual,corrente,1.6,Demais,2,2015,1234.33715248
2.5,anual,corrente,1.6,Demais,2,2016,1291.33858006
2.5,anual,corrente,1.6,Demais,2,2017,1471.4660792799998
2.5,anual,corrente,1.6,Demais,2,2018,1538.8303161000001
2.5,anual,corrente,1.6,Demais,2,2019,13264.077552829998
2.5,anual,corrente,1.6,Demais,2,2020,1685.68784018
2.5,anual,corrente,1.6,Demais,2,2021,2051.25921131
2.5,anual,corrente,1.6,Demais,2,2022,10255.14153462
2.5,anual,corrente,1.6,Demais,2,2023,3017.90441137
2.5,anual,corrente,1.6,Demais,2,2024,3350.69110632
2.5,anual,corrente,1.6,Demais,2,2025,3859.8382382400005
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2008,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2009,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2010,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2011,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2012,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2013,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2014,0
2.5,anual,corrente,1.6.1,Concessão de Recursos Florestais,3,2015,0.75324298
