tabela,periodicidade,unidade_tipo,codigo,descricao,nivel,periodo,valor
4.1,trimestral,corrente,1,Receita 2/,1,2006-I,149378.04953863
4.1,trimestral,corrente,1,Receita 2/,1,2006-II,153362.80164349
4.1,trimestral,corrente,1,Receita 2/,1,2006-III,158610.34798311
4.1,trimestral,corrente,1,Receita 2/,1,2006-IV,174438.45325865998
4.1,trimestral,corrente,1,Receita 2/,1,2007-I,166265.97211292
4.1,trimestral,corrente,1,Receita 2/,1,2007-II,170786.86925101
4.1,trimestral,corrente,1,Receita 2/,1,2007-III,176675.20399117
4.1,trimestral,corrente,1,Receita 2/,1,2007-IV,214340.59874361998
4.1,trimestral,corrente,1,Receita 2/,1,2008-I,203211.18218638003
4.1,trimestral,corrente,1,Receita 2/,1,2008-II,205083.11213559
4.1,trimestral,corrente,1,Receita 2/,1,2008-III,218350.44104556998
4.1,trimestral,corrente,1,Receita 2/,1,2008-IV,231144.60834693
4.1,trimestral,corrente,1,Receita 2/,1,2009-I,190155.37108769998
4.1,trimestral,corrente,1,Receita 2/,1,2009-II,190138.9999204
4.1,trimestral,corrente,1,Receita 2/,1,2009-III,191080.70494052
4.1,trimestral,corrente,1,Receita 2/,1,2009-IV,245165.02673796
4.1,trimestral,corrente,1,Receita 2/,1,2010-I,228999.19104051002
4.1,trimestral,corrente,1,Receita 2/,1,2010-II,243119.2410017
4.1,trimestral,corrente,1,Receita 2/,1,2010-III,244426.0442825
4.1,trimestral,corrente,1,Receita 2/,1,2010-IV,290236.32070182
4.1,trimestral,corrente,1,Receita 2/,1,2011-I,278044.19857768
4.1,trimestral,corrente,1,Receita 2/,1,2011-II,278903.75095675
4.1,trimestral,corrente,1,Receita 2/,1,2011-III,275876.12345773
4.1,trimestral,corrente,1,Receita 2/,1,2011-IV,305396.85859982995
4.1,trimestral,corrente,1,Receita 2/,1,2012-I,303969.08649756
4.1,trimestral,corrente,1,Receita 2/,1,2012-II,306246.16621423
4.1,trimestral,corrente,1,Receita 2/,1,2012-III,324825.89013772993
4.1,trimestral,corrente,1,Receita 2/,1,2012-IV,335324.69938607
4.1,trimestral,corrente,1,Receita 2/,1,2013-I,322595.61674493004
4.1,trimestral,corrente,1,Receita 2/,1,2013-II,324713.8812911
4.1,trimestral,corrente,1,Receita 2/,1,2013-III,315211.60805111995
4.1,trimestral,corrente,1,Receita 2/,1,2013-IV,394298.26691416
4.1,trimestral,corrente,1,Receita 2/,1,2014-I,362940.72405231005
4.1,trimestral,corrente,1,Receita 2/,1,2014-II,339705.76271988
4.1,trimestral,corrente,1,Receita 2/,1,2014-III,318539.13788468996
4.1,trimestral,corrente,1,Receita 2/,1,2014-IV,368648.6759393
4.1,trimestral,corrente,1,Receita 2/,1,2015-I,377085.30031002
4.1,trimestral,corrente,1,Receita 2/,1,2015-II,397931.9056310101
4.1,trimestral,corrente,1,Receita 2/,1,2015-III,358721.36426179
4.1,trimestral,corrente,1,Receita 2/,1,2015-IV,414472.10605176
4.1,trimestral,corrente,1,Receita 2/,1,2016-I,441690.44338578
4.1,trimestral,corrente,1,Receita 2/,1,2016-II,392041.83684360003
4.1,trimestral,corrente,1,Receita 2/,1,2016-III,364795.61753241
4.1,trimestral,corrente,1,Receita 2/,1,2016-IV,442999.07525906
4.1,trimestral,corrente,1,Receita 2/,1,2017-I,405700.59369659994
4.1,trimestral,corrente,1,Receita 2/,1,2017-II,382818.21817144996
4.1,trimestral,corrente,1,Receita 2/,1,2017-III,373887.4436898
4.1,trimestral,corrente,1,Receita 2/,1,2017-IV,443100.28403266
4.1,trimestral,corrente,1,Receita 2/,1,2018-I,430124.84895813995
4.1,trimestral,corrente,1,Receita 2/,1,2018-II,422427.29134445
4.1,trimestral,corrente,1,Receita 2/,1,2018-III,434772.79155781
4.1,trimestral,corrente,1,Receita 2/,1,2018-IV,483708.81420944
4.1,trimestral,corrente,1,Receita 2/,1,2019-I,460909.22969903
4.1,trimestral,corrente,1,Receita 2/,1,2019-II,435594.44784984004
4.1,trimestral,corrente,1,Receita 2/,1,2019-III,430663.84611019003
4.1,trimestral,corrente,1,Receita 2/,1,2019-IV,562552.21574331
4.1,trimestral,corrente,1,Receita 2/,1,2020-I,468348.97678461997
4.1,trimestral,corrente,1,Receita 2/,1,2020-II,303832.30224251
4.1,trimestral,corrente,1,Receita 2/,1,2020-III,400230.08551111
